County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Asotin,15,1,4,0,10,126,28,91,7,0
Benton,73,2,6,5,60,386,81,259,46,5
Chelan,43,0,3,0,40,322,90,219,13,0
Clark,230,4,64,27,135,"2,189",402,"1,410",377,10
Cowlitz,64,3,23,1,37,285,85,150,50,5
Douglas,15,0,9,1,5,225,59,141,25,1
Franklin,16,1,1,4,10,126,45,68,13,3
King,607,5,64,176,362,"3,621",796,"2,132",693,77
Kitsap,445,3,115,28,299,"3,036",590,"2,196",250,4
Pierce,"1,152",9,144,183,816,"6,822","1,718","4,029","1,075",48
Skagit,74,0,11,13,50,757,222,474,61,1
Skamania,12,1,3,0,8,132,32,88,12,2
Snohomish,535,1,82,74,378,"4,328",917,"2,619",792,30
Spokane,195,5,51,20,119,"2,666",555,"1,900",211,11
Stevens,35,1,8,2,24,338,115,176,47,2
Thurston,246,3,27,19,197,"1,546",545,808,193,11
Walla Walla,20,1,4,1,14,266,88,152,26,2
Yakima,153,8,31,17,97,"1,466",383,759,324,7
Adams,18,0,4,0,14,93,36,45,12,2
Clallam,49,1,14,3,31,461,119,315,27,1
Columbia,9,0,1,0,8,72,22,46,4,1
Ferry,3,0,2,1,0,26,4,19,3,0
Grant,95,0,25,6,64,837,179,537,121,16
Grays Harbor,47,1,18,1,27,250,96,134,20,2
Island,56,1,14,1,40,373,124,230,19,2
Jefferson,33,0,4,3,26,222,91,117,14,1
Kittitas,8,1,3,0,4,142,43,88,11,0
Klickitat,4,1,0,0,3,76,68,5,3,0
Lewis,86,2,22,3,59,473,146,269,58,1
Lincoln,10,0,3,0,7,87,26,51,10,5
Mason,85,0,11,9,65,956,334,510,112,2
Okanogan,38,1,12,0,25,158,43,106,9,2
Pacific,21,0,0,2,19,137,59,71,7,1
Pend Oreille,5,0,2,0,3,140,35,93,12,0
San Juan,9,0,0,0,9,105,20,76,9,0
Wahkiakum,4,0,2,0,2,32,9,20,3,0
Whitman,7,0,0,0,7,35,13,14,8,0